位階排名,牌型,牌面,花色變體數,位置起(1-based),位置訖,千萬位percentile,位階名次%
110,亂,109843亂,1020,111181,112200,427790.35,1.4741
111,亂,109852亂,1020,112201,113220,431714.99,1.4875
112,亂,109853亂,1020,113221,114240,435639.64,1.5009
113,亂,109854亂,1020,114241,115260,439564.29,1.5143
114,亂,109862亂,1020,115261,116280,443488.93,1.5277
115,亂,109863亂,1020,116281,117300,447413.58,1.5411
116,亂,109864亂,1020,117301,118320,451338.23,1.5545
117,亂,109865亂,1020,118321,119340,455262.87,1.5679
118,亂,109872亂,1020,119341,120360,459187.52,1.5813
119,亂,109873亂,1020,120361,121380,463112.17,1.5947
120,亂,109874亂,1020,121381,122400,467036.81,1.6081
121,亂,109875亂,1020,122401,123420,470961.46,1.6215
122,亂,J5432亂,1020,123421,124440,474886.11,1.635
123,亂,J6432亂,1020,124441,125460,478810.76,1.6484
124,亂,J6532亂,1020,125461,126480,482735.4,1.6618
125,亂,J6542亂,1020,126481,127500,486660.05,1.6752
126,亂,J6543亂,1020,127501,128520,490584.7,1.6886
127,亂,J7432亂,1020,128521,129540,494509.34,1.702
128,亂,J7532亂,1020,129541,130560,498433.99,1.7154
129,亂,J7542亂,1020,130561,131580,502358.64,1.7288
130,亂,J7543亂,1020,131581,132600,506283.28,1.7422
131,亂,J7632亂,1020,132601,133620,510207.93,1.7556
132,亂,J7642亂,1020,133621,134640,514132.58,1.769
133,亂,J7643亂,1020,134641,135660,518057.22,1.7824
134,亂,J7652亂,1020,135661,136680,521981.87,1.7958
135,亂,J7653亂,1020,136681,137700,525906.52,1.8092
136,亂,J7654亂,1020,137701,138720,529831.16,1.8226
137,亂,J8432亂,1020,138721,139740,533755.81,1.836
138,亂,J8532亂,1020,139741,140760,537680.46,1.8494
139,亂,J8542亂,1020,140761,141780,541605.1,1.8628
140,亂,J8543亂,1020,141781,142800,545529.75,1.8762
141,亂,J8632亂,1020,142801,143820,549454.4,1.8896
142,亂,J8642亂,1020,143821,144840,553379.04,1.903
143,亂,J8643亂,1020,144841,145860,557303.69,1.9164
144,亂,J8652亂,1020,145861,146880,561228.34,1.9298
145,亂,J8653亂,1020,146881,147900,565152.98,1.9432
146,亂,J8654亂,1020,147901,148920,569077.63,1.9566
147,亂,J8732亂,1020,148921,149940,573002.28,1.97
148,亂,J8742亂,1020,149941,150960,576926.92,1.9834
149,亂,J8743亂,1020,150961,151980,580851.57,1.9968
150,亂,J8752亂,1020,151981,153000,584776.22,2.0102
151,亂,J8753亂,1020,153001,154020,588700.86,2.0236
152,亂,J8754亂,1020,154021,155040,592625.51,2.037
153,亂,J8762亂,1020,155041,156060,596550.16,2.0504
154,亂,J8763亂,1020,156061,157080,600474.81,2.0638
155,亂,J8764亂,1020,157081,158100,604399.45,2.0772
156,亂,J8765亂,1020,158101,159120,608324.1,2.0906
157,亂,J9432亂,1020,159121,160140,612248.75,2.104
158,亂,J9532亂,1020,160141,161160,616173.39,2.1174
159,亂,J9542亂,1020,161161,162180,620098.04,2.1308
160,亂,J9543亂,1020,162181,163200,624022.69,2.1442
161,亂,J9632亂,1020,163201,164220,627947.33,2.1576
162,亂,J9642亂,1020,164221,165240,631871.98,2.171
163,亂,J9643亂,1020,165241,166260,635796.63,2.1844
164,亂,J9652亂,1020,166261,167280,639721.27,2.1978
165,亂,J9653亂,1020,167281,168300,643645.92,2.2112
166,亂,J9654亂,1020,168301,169320,647570.57,2.2246
167,亂,J9732亂,1020,169321,170340,651495.21,2.238
168,亂,J9742亂,1020,170341,171360,655419.86,2.2514
169,亂,J9743亂,1020,171361,172380,659344.51,2.2648
170,亂,J9752亂,1020,172381,173400,663269.15,2.2782
171,亂,J9753亂,1020,173401,174420,667193.8,2.2916
172,亂,J9754亂,1020,174421,175440,671118.45,2.305
173,亂,J9762亂,1020,175441,176460,675043.09,2.3184
174,亂,J9763亂,1020,176461,177480,678967.74,2.3318
175,亂,J9764亂,1020,177481,178500,682892.39,2.3452
176,亂,J9765亂,1020,178501,179520,686817.03,2.3586
177,亂,J9832亂,1020,179521,180540,690741.68,2.372
178,亂,J9842亂,1020,180541,181560,694666.33,2.3854
179,亂,J9843亂,1020,181561,182580,698590.97,2.3988
180,亂,J9852亂,1020,182581,183600,702515.62,2.4122
181,亂,J9853亂,1020,183601,184620,706440.27,2.4256
182,亂,J9854亂,1020,184621,185640,710364.92,2.439
183,亂,J9862亂,1020,185641,186660,714289.56,2.4524
184,亂,J9863亂,1020,186661,187680,718214.21,2.4658
185,亂,J9864亂,1020,187681,188700,722138.86,2.4792
186,亂,J9865亂,1020,188701,189720,726063.5,2.4926
187,亂,J9872亂,1020,189721,190740,729988.15,2.506
188,亂,J9873亂,1020,190741,191760,733912.8,2.5194
189,亂,J9874亂,1020,191761,192780,737837.44,2.5328
190,亂,J9875亂,1020,192781,193800,741762.09,2.5462
191,亂,J9876亂,1020,193801,194820,745686.74,2.5596
192,亂,J10432亂,1020,194821,195840,749611.38,2.573
193,亂,J10532亂,1020,195841,196860,753536.03,2.5864
194,亂,J10542亂,1020,196861,197880,757460.68,2.5998
195,亂,J10543亂,1020,197881,198900,761385.32,2.6132
196,亂,J10632亂,1020,198901,199920,765309.97,2.6266
197,亂,J10642亂,1020,199921,200940,769234.62,2.64
198,亂,J10643亂,1020,200941,201960,773159.26,2.6534
199,亂,J10652亂,1020,201961,202980,777083.91,2.6668
200,亂,J10653亂,1020,202981,204000,781008.56,2.6802
201,亂,J10654亂,1020,204001,205020,784933.2,2.6936
202,亂,J10732亂,1020,205021,206040,788857.85,2.707
203,亂,J10742亂,1020,206041,207060,792782.5,2.7205
204,亂,J10743亂,1020,207061,208080,796707.14,2.7339
205,亂,J10752亂,1020,208081,209100,800631.79,2.7473
206,亂,J10753亂,1020,209101,210120,804556.44,2.7607
207,亂,J10754亂,1020,210121,211140,808481.08,2.7741
208,亂,J10762亂,1020,211141,212160,812405.73,2.7875
209,亂,J10763亂,1020,212161,213180,816330.38,2.8009
210,亂,J10764亂,1020,213181,214200,820255.03,2.8143
211,亂,J10765亂,1020,214201,215220,824179.67,2.8277
212,亂,J10832亂,1020,215221,216240,828104.32,2.8411
213,亂,J10842亂,1020,216241,217260,832028.97,2.8545
214,亂,J10843亂,1020,217261,218280,835953.61,2.8679
215,亂,J10852亂,1020,218281,219300,839878.26,2.8813
216,亂,J10853亂,1020,219301,220320,843802.91,2.8947
217,亂,J10854亂,1020,220321,221340,847727.55,2.9081
218,亂,J10862亂,1020,221341,222360,851652.2,2.9215
219,亂,J10863亂,1020,222361,223380,855576.85,2.9349
220,亂,J10864亂,1020,223381,224400,859501.49,2.9483
221,亂,J10865亂,1020,224401,225420,863426.14,2.9617
222,亂,J10872亂,1020,225421,226440,867350.79,2.9751
223,亂,J10873亂,1020,226441,227460,871275.43,2.9885
224,亂,J10874亂,1020,227461,228480,875200.08,3.0019
225,亂,J10875亂,1020,228481,229500,879124.73,3.0153
226,亂,J10876亂,1020,229501,230520,883049.37,3.0287
227,亂,J10932亂,1020,230521,231540,886974.02,3.0421
228,亂,J10942亂,1020,231541,232560,890898.67,3.0555
229,亂,J10943亂,1020,232561,233580,894823.31,3.0689
230,亂,J10952亂,1020,233581,234600,898747.96,3.0823
231,亂,J10953亂,1020,234601,235620,902672.61,3.0957
232,亂,J10954亂,1020,235621,236640,906597.25,3.1091
233,亂,J10962亂,1020,236641,237660,910521.9,3.1225
234,亂,J10963亂,1020,237661,238680,914446.55,3.1359
235,亂,J10964亂,1020,238681,239700,918371.19,3.1493
236,亂,J10965亂,1020,239701,240720,922295.84,3.1627
237,亂,J10972亂,1020,240721,241740,926220.49,3.1761
238,亂,J10973亂,1020,241741,242760,930145.13,3.1895
239,亂,J10974亂,1020,242761,243780,934069.78,3.2029
240,亂,J10975亂,1020,243781,244800,937994.43,3.2163
241,亂,J10976亂,1020,244801,245820,941919.08,3.2297
242,亂,J10982亂,1020,245821,246840,945843.72,3.2431
243,亂,J10983亂,1020,246841,247860,949768.37,3.2565
244,亂,J10984亂,1020,247861,248880,953693.02,3.2699
245,亂,J10985亂,1020,248881,249900,957617.66,3.2833
246,亂,J10986亂,1020,249901,250920,961542.31,3.2967
247,亂,Q5432亂,1020,250921,251940,965466.96,3.3101
248,亂,Q6432亂,1020,251941,252960,969391.6,3.3235
249,亂,Q6532亂,1020,252961,253980,973316.25,3.3369
250,亂,Q6542亂,1020,253981,255000,977240.9,3.3503
251,亂,Q6543亂,1020,255001,256020,981165.54,3.3637
252,亂,Q7432亂,1020,256021,257040,985090.19,3.3771
253,亂,Q7532亂,1020,257041,258060,989014.84,3.3905
254,亂,Q7542亂,1020,258061,259080,992939.48,3.4039
255,亂,Q7543亂,1020,259081,260100,996864.13,3.4173
256,亂,Q7632亂,1020,260101,261120,1000788.78,3.4307
257,亂,Q7642亂,1020,261121,262140,1004713.42,3.4441
258,亂,Q7643亂,1020,262141,263160,1008638.07,3.4575
259,亂,Q7652亂,1020,263161,264180,1012562.72,3.4709
260,亂,Q7653亂,1020,264181,265200,1016487.36,3.4843
261,亂,Q7654亂,1020,265201,266220,1020412.01,3.4977
262,亂,Q8432亂,1020,266221,267240,1024336.66,3.5111
263,亂,Q8532亂,1020,267241,268260,1028261.3,3.5245
264,亂,Q8542亂,1020,268261,269280,1032185.95,3.5379
265,亂,Q8543亂,1020,269281,270300,1036110.6,3.5513
266,亂,Q8632亂,1020,270301,271320,1040035.24,3.5647
267,亂,Q8642亂,1020,271321,272340,1043959.89,3.5781
268,亂,Q8643亂,1020,272341,273360,1047884.54,3.5915
269,亂,Q8652亂,1020,273361,274380,1051809.19,3.6049
270,亂,Q8653亂,1020,274381,275400,1055733.83,3.6183
271,亂,Q8654亂,1020,275401,276420,1059658.48,3.6317
272,亂,Q8732亂,1020,276421,277440,1063583.13,3.6451
273,亂,Q8742亂,1020,277441,278460,1067507.77,3.6585
274,亂,Q8743亂,1020,278461,279480,1071432.42,3.6719
275,亂,Q8752亂,1020,279481,280500,1075357.07,3.6853
276,亂,Q8753亂,1020,280501,281520,1079281.71,3.6987
277,亂,Q8754亂,1020,281521,282540,1083206.36,3.7121
278,亂,Q8762亂,1020,282541,283560,1087131.01,3.7255
279,亂,Q8763亂,1020,283561,284580,1091055.65,3.7389
280,亂,Q8764亂,1020,284581,285600,1094980.3,3.7523
281,亂,Q8765亂,1020,285601,286620,1098904.95,3.7657
282,亂,Q9432亂,1020,286621,287640,1102829.59,3.7791
283,亂,Q9532亂,1020,287641,288660,1106754.24,3.7925
284,亂,Q9542亂,1020,288661,289680,1110678.89,3.806
285,亂,Q9543亂,1020,289681,290700,1114603.53,3.8194
286,亂,Q9632亂,1020,290701,291720,1118528.18,3.8328
287,亂,Q9642亂,1020,291721,292740,1122452.83,3.8462
288,亂,Q9643亂,1020,292741,293760,1126377.47,3.8596
289,亂,Q9652亂,1020,293761,294780,1130302.12,3.873
290,亂,Q9653亂,1020,294781,295800,1134226.77,3.8864
291,亂,Q9654亂,1020,295801,296820,1138151.41,3.8998
292,亂,Q9732亂,1020,296821,297840,1142076.06,3.9132
293,亂,Q9742亂,1020,297841,298860,1146000.71,3.9266
294,亂,Q9743亂,1020,298861,299880,1149925.35,3.94
295,亂,Q9752亂,1020,299881,300900,1153850.0,3.9534
296,亂,Q9753亂,1020,300901,301920,1157774.65,3.9668
297,亂,Q9754亂,1020,301921,302940,1161699.3,3.9802
298,亂,Q9762亂,1020,302941,303960,1165623.94,3.9936
299,亂,Q9763亂,1020,303961,304980,1169548.59,4.007
300,亂,Q9764亂,1020,304981,306000,1173473.24,4.0204
301,亂,Q9765亂,1020,306001,307020,1177397.88,4.0338
302,亂,Q9832亂,1020,307021,308040,1181322.53,4.0472
303,亂,Q9842亂,1020,308041,309060,1185247.18,4.0606
304,亂,Q9843亂,1020,309061,310080,1189171.82,4.074
305,亂,Q9852亂,1020,310081,311100,1193096.47,4.0874
306,亂,Q9853亂,1020,311101,312120,1197021.12,4.1008
307,亂,Q9854亂,1020,312121,313140,1200945.76,4.1142
308,亂,Q9862亂,1020,313141,314160,1204870.41,4.1276
309,亂,Q9863亂,1020,314161,315180,1208795.06,4.141
310,亂,Q9864亂,1020,315181,316200,1212719.7,4.1544
311,亂,Q9865亂,1020,316201,317220,1216644.35,4.1678
312,亂,Q9872亂,1020,317221,318240,1220569.0,4.1812
313,亂,Q9873亂,1020,318241,319260,1224493.64,4.1946
314,亂,Q9874亂,1020,319261,320280,1228418.29,4.208
315,亂,Q9875亂,1020,320281,321300,1232342.94,4.2214
316,亂,Q9876亂,1020,321301,322320,1236267.58,4.2348
317,亂,Q10432亂,1020,322321,323340,1240192.23,4.2482
318,亂,Q10532亂,1020,323341,324360,1244116.88,4.2616
319,亂,Q10542亂,1020,324361,325380,1248041.52,4.275
320,亂,Q10543亂,1020,325381,326400,1251966.17,4.2884
321,亂,Q10632亂,1020,326401,327420,1255890.82,4.3018
322,亂,Q10642亂,1020,327421,328440,1259815.46,4.3152
323,亂,Q10643亂,1020,328441,329460,1263740.11,4.3286
324,亂,Q10652亂,1020,329461,330480,1267664.76,4.342
325,亂,Q10653亂,1020,330481,331500,1271589.4,4.3554
326,亂,Q10654亂,1020,331501,332520,1275514.05,4.3688
327,亂,Q10732亂,1020,332521,333540,1279438.7,4.3822
