位階排名,牌型,牌面,花色變體數,位置起(1-based),位置訖,千萬位percentile,位階名次%
114,一對,66+QJ3,384,43393,43776,452717.79,2.1489
115,一對,66+QJ4,384,43777,44160,456724.05,2.1678
116,一對,66+QJ5,384,44161,44544,460730.31,2.1866
117,一對,66+QJ7,384,44545,44928,464736.57,2.2055
118,一對,66+QJ8,384,44929,45312,468742.83,2.2243
119,一對,66+QJ9,384,45313,45696,472749.09,2.2432
120,一對,66+QJ10,384,45697,46080,476755.35,2.262
121,一對,66+K32,384,46081,46464,480761.61,2.2809
122,一對,66+K42,384,46465,46848,484767.87,2.2997
123,一對,66+K43,384,46849,47232,488774.13,2.3186
124,一對,66+K52,384,47233,47616,492780.39,2.3374
125,一對,66+K53,384,47617,48000,496786.65,2.3563
126,一對,66+K54,384,48001,48384,500792.91,2.3751
127,一對,66+K72,384,48385,48768,504799.17,2.394
128,一對,66+K73,384,48769,49152,508805.43,2.4128
129,一對,66+K74,384,49153,49536,512811.68,2.4317
130,一對,66+K75,384,49537,49920,516817.94,2.4505
131,一對,66+K82,384,49921,50304,520824.2,2.4694
132,一對,66+K83,384,50305,50688,524830.46,2.4882
133,一對,66+K84,384,50689,51072,528836.72,2.5071
134,一對,66+K85,384,51073,51456,532842.98,2.5259
135,一對,66+K87,384,51457,51840,536849.24,2.5448
136,一對,66+K92,384,51841,52224,540855.5,2.5636
137,一對,66+K93,384,52225,52608,544861.76,2.5825
138,一對,66+K94,384,52609,52992,548868.02,2.6013
139,一對,66+K95,384,52993,53376,552874.28,2.6202
140,一對,66+K97,384,53377,53760,556880.54,2.639
141,一對,66+K98,384,53761,54144,560886.8,2.6579
142,一對,66+K102,384,54145,54528,564893.06,2.6767
143,一對,66+K103,384,54529,54912,568899.32,2.6956
144,一對,66+K104,384,54913,55296,572905.58,2.7144
145,一對,66+K105,384,55297,55680,576911.84,2.7333
146,一對,66+K107,384,55681,56064,580918.1,2.7521
147,一對,66+K108,384,56065,56448,584924.36,2.771
148,一對,66+K109,384,56449,56832,588930.62,2.7898
149,一對,66+KJ2,384,56833,57216,592936.88,2.8087
150,一對,66+KJ3,384,57217,57600,596943.14,2.8275
151,一對,66+KJ4,384,57601,57984,600949.4,2.8464
152,一對,66+KJ5,384,57985,58368,604955.66,2.8652
153,一對,66+KJ7,384,58369,58752,608961.92,2.8841
154,一對,66+KJ8,384,58753,59136,612968.18,2.9029
155,一對,66+KJ9,384,59137,59520,616974.44,2.9218
156,一對,66+KJ10,384,59521,59904,620980.7,2.9406
157,一對,66+KQ2,384,59905,60288,624986.96,2.9595
158,一對,66+KQ3,384,60289,60672,628993.22,2.9783
159,一對,66+KQ4,384,60673,61056,632999.48,2.9972
160,一對,66+KQ5,384,61057,61440,637005.74,3.016
161,一對,66+KQ7,384,61441,61824,641012.0,3.0349
162,一對,66+KQ8,384,61825,62208,645018.26,3.0537
163,一對,66+KQ9,384,62209,62592,649024.52,3.0726
164,一對,66+KQ10,384,62593,62976,653030.78,3.0914
165,一對,66+KQJ,384,62977,63360,657037.04,3.1103
166,一對,66+A32,384,63361,63744,661043.3,3.1291
167,一對,66+A42,384,63745,64128,665049.56,3.148
168,一對,66+A43,384,64129,64512,669055.82,3.1668
169,一對,66+A52,384,64513,64896,673062.08,3.1857
170,一對,66+A53,384,64897,65280,677068.34,3.2045
171,一對,66+A54,384,65281,65664,681074.6,3.2234
172,一對,66+A72,384,65665,66048,685080.86,3.2422
173,一對,66+A73,384,66049,66432,689087.12,3.2611
174,一對,66+A74,384,66433,66816,693093.38,3.2799
175,一對,66+A75,384,66817,67200,697099.63,3.2988
176,一對,66+A82,384,67201,67584,701105.89,3.3176
177,一對,66+A83,384,67585,67968,705112.15,3.3365
178,一對,66+A84,384,67969,68352,709118.41,3.3553
179,一對,66+A85,384,68353,68736,713124.67,3.3742
180,一對,66+A87,384,68737,69120,717130.93,3.393
181,一對,66+A92,384,69121,69504,721137.19,3.4119
